input_name,author_name,orcid,work_openalex_id,title,year,venue,doi,cited_by_count,type,openalex_url,counts_by_year,fwci,is_in_top_10_percent
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W4287600190,Resistivity Device for Near Surface Studies,2020,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.4282629,0,article,https://openalex.org/W4287600190,[],0.0,False
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W4287600214,Resistivity Device for Near Surface Studies,2020,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.4268774,0,article,https://openalex.org/W4287600214,[],0.0,False
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W4405469291,Characterization of multiphase fluid displacements by the geoelectric method at a laboratory microscale,2024,,https://doi.org/10.1190/image2024-4101577.1,0,article,https://openalex.org/W4405469291,[],0.0,False
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W4416992441,"Evaluation of GPR Data Attributes to Investigate a Mud‐Wall Building at a First Millennium <scp>ad</scp> Village, Catamarca, Argentina",2025,Archaeological Prospection,https://doi.org/10.1002/arp.70019,0,article,https://openalex.org/W4416992441,[],0.0,False
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W7124124048,EVALUATION OF A MODULAR GEOELECTRIC EQUIPMENT FOR THE STUDY OF EXPEDITIOUS SURVEYS ON IRRIGATED CROPS,2025,Archivio istituzionale della ricerca (Alma Mater Studiorum Università di Bologna),,0,article,https://openalex.org/W7124124048,[],0.0,False
"Bongiovanni, María Victoria",María Victoria Bongiovanni,0000-0002-3170-3185,https://openalex.org/W84345461,To project an Order: Interdisciplinary Perspectives on Spatial Construction in the Spanish Colony of Floridablanca,2008,Historical Archaeology,,0,article,https://openalex.org/W84345461,[],0.0,False
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,https://openalex.org/W4406039893,Key features and guidelines for the application of microbial alpha diversity metrics,2025,Scientific Reports,https://doi.org/10.1038/s41598-024-77864-y,78,article,https://openalex.org/W4406039893,"[{'year': 2026, 'cited_by_count': 24}, {'year': 2025, 'cited_by_count': 54}]",70.0348,True
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,https://openalex.org/W4396242074,Variability and bias in microbiome metagenomic sequencing: an interlaboratory study comparing experimental protocols,2024,Scientific Reports,https://doi.org/10.1038/s41598-024-57981-4,37,article,https://openalex.org/W4396242074,"[{'year': 2026, 'cited_by_count': 6}, {'year': 2025, 'cited_by_count': 23}, {'year': 2024, 'cited_by_count': 7}, {'year': 2023, 'cited_by_count': 1}]",8.852,True
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,https://openalex.org/W3001041731,ISOGO: Functional annotation of protein-coding splice variants,2020,Scientific Reports,https://doi.org/10.1038/s41598-020-57974-z,12,article,https://openalex.org/W3001041731,"[{'year': 2025, 'cited_by_count': 3}, {'year': 2024, 'cited_by_count': 1}, {'year': 2023, 'cited_by_count': 4}, {'year': 2022, 'cited_by_count': 1}, {'year': 2021, 'cited_by_count': 3}]",0.6673,False
"Cassol, Ignacio",Ignacio Cassol,0000-0003-4592-6272,https://openalex.org/W4226254681,Improving Integration Process Efficiency through Pull Request Prioritization,2022,,https://doi.org/10.5220/0010992100003176,4,preprint,https://openalex.org/W4226254681,"[{'year': 2024, 'cited_by_count': 3}, {'year': 2023, 'cited_by_count': 1}]",0.634255,False
