input_name,author_name,orcid,year,cited_by_count
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2019,27
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2020,3
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2022,9
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2023,6
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2024,0
"Hierro, Rodrigo",R. Hierro,0000-0001-7835-8801,2025,0
"Marcos, T.",Tomás Marcos,0000-0002-5598-0830,2022,9
"Marcos, T.",Tomás Marcos,0000-0002-5598-0830,2023,6
"Marcos, T.",Tomás Marcos,0000-0002-5598-0830,2024,0
"Marcos, T.",Tomás Marcos,0000-0002-5598-0830,2025,0
"Olmedo, Agustín",Agustín Olmedo,0000-0003-2844-6816,2022,4
"Olmedo, Agustín",Agustín Olmedo,0000-0003-2844-6816,2023,1
"Olmedo, Agustín",Agustín Olmedo,0000-0003-2844-6816,2024,0
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2004,0
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2007,9
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2008,56
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2009,45
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2010,38
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2011,10
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2012,1
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2013,26
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2014,13
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2015,1
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2016,32
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2017,16
