input_name,author_name,orcid,citation_year,citations
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2020,31
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2021,36
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2022,38
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2023,35
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2024,24
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2025,31
"Robiolo, Gabriela",Gabriela Robiolo,0000-0001-6865-8499,2026,3
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2012,155
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2013,198
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2014,247
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2015,246
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2016,174
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2017,166
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2018,171
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2019,195
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2020,235
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2021,245
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2022,227
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2023,201
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2024,191
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2025,163
"Rossi, Mario",Mario Rossi,0000-0001-6349-8895,2026,23
"Sánchez Sarmiento, Fernando",Fernando B. Sanchez-Sarmiento,0000-0002-8351-8192,2025,3
"Umbricht, Guillermo Federico",Guillermo Federico Umbricht,0000-0002-8724-0909,2021,12
"Umbricht, Guillermo Federico",Guillermo Federico Umbricht,0000-0002-8724-0909,2022,8
"Umbricht, Guillermo Federico",Guillermo Federico Umbricht,0000-0002-8724-0909,2023,2
"Umbricht, Guillermo Federico",Guillermo Federico Umbricht,0000-0002-8724-0909,2024,14
"Umbricht, Guillermo Federico",Guillermo Federico Umbricht,0000-0002-8724-0909,2025,31
"Umbricht, Guillermo Federico",Guillermo Federico Umbricht,0000-0002-8724-0909,2026,2
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2012,99
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2013,95
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2014,133
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2015,139
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2016,144
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2017,116
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2018,124
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2019,144
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2020,172
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2021,207
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2022,171
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2023,154
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2024,149
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2025,140
"Walz, Katherina",Katherina Walz,0000-0002-1296-5286,2026,36
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2012,31
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2013,42
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2014,39
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2015,81
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2016,36
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2017,68
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2018,112
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2019,67
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2020,100
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2021,135
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2022,176
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2023,148
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2024,125
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2025,77
"de la Torre, Alejandro",A. de la Torre,0000-0002-4950-5638,2026,10
"del Carril, Ignacio Enrique",Ignacio Enrique Del Carril,0000-0003-4322-1973,2021,2
"del Carril, Ignacio Enrique",Ignacio Enrique Del Carril,0000-0003-4322-1973,2023,1
